age;male;female
0 to 04 years;9932;9666
05 to 09 years;10165;9727
10 to 14 years;11944;11686
15 to 19 years;12450;12932
20 to 24 years;15297;15970
25 to 29 years;15511;16621
30 to 34 years;13475;15295
35 to 39 years;10801;12346
40 to 44 years;10429;12151
45 to 49 years;10427;12577
50 to 55 years;9690;11893
55 to 59 years;7818;9528
60 to 64 years;5500;7022
65 to 69 years;3822;4996
70 to 74 years;2746;4095
75 to 79 years;1927;3265
80 to 84 years;1228;2292
85 to 89 years;546;1100
90 to 91 years;197;490
95 to 99 years;35;166
100 years or more;8;35
